Key,File,Type,UsedInMainMenu,NoTranslate,English
shApple,Items,Food,,,"Apple"
shAppleDesc,Items,Food,,,"Just a regular apple , can be consumed and used in crafting"
shCucumber,Items,Food,,,"Cucumber"
shCucumberDesc,Items,Food,,,"Just a regular cucumber, can be consumed and used in crafting"
shDragonfruit,Items,Food,,,"Dragonfruit"
shDragonfruitDesc,Items,Food,,,"Just a regular dragonfruit, can be consumed and used in crafting multivitamin drink"
shCoconut,Items,Food,,,"Coconut"
shCoconutDesc,Items,Food,,,"Just a regular coconut, can be consumed and used in crafting"
shBlueberries,Items,Food,,,"Blueberries"
shBlueberriesDesc,Items,Food,,,"Just a regular blueberries, can be consumed and used in crafting"
shGrapes,Items,Food,,,"Grapes"
shGrapesDesc,Items,Food,,,"Just a regular grapes, can be consumed and used in crafting multivitamin drink"
shChilli,Items,Food,,,"Chilli"
shChilliDesc,Items,Food,,,"Just a regular chilli, can be consumed and used in crafting"
shKiwi,Items,Food,,,"Kiwi"
shKiwiDesc,Items,Food,,,"Just a regular kiwi, can be consumed and used in crafting"
shLemon,Items,Food,,,"Lemon"
shLemonDesc,Items,Food,,,"Just a regular lemon, can be consumed and used in crafting"
shMushroom,Items,Food,,,"Mushrooms"
shMushroomDesc,Items,Food,,,"Just a regular mushrooms, can be consumed and used in crafting"
shOrange,Items,Food,,,"Orange"
shOrangeDesc,Items,Food,,,"Just a regular orange, can be consumed and used in crafting"
shPeach,Items,Food,,,"Peach"
shPeachDesc,Items,Food,,,"Just a regular peach, can be consumed and used in crafting"
shPear,Items,Food,,,"Pear"
shPearDesc,Items,Food,,,"Just a regular pear, can be consumed and used in crafting multivitamin drink"
shRaspberry,Items,Food,,,"Raspberry"
shRaspberryDesc,Items,Food,,,"Just a regular raspberry, can be consumed and used in crafting"
shStrawberry,Items,Food,,,"Strawberry"
shStrawberryDesc,Items,Food,,,"Just a regular strawberry, can be consumed and used in crafting"
shCherry,Items,Food,,,"Cherry"
shCherryDesc,Items,Food,,,"Just a regular cherry, can be consumed and used in crafting"
shVanilla,Items,Food,,,"Vanilla"
shVanillaDesc,Items,Food,,,"Just a regular vanilla , can be consumed and used in crafting"
shWatermelon,Items,Food,,,"Watermelon"
shWatermelonDesc,Items,Food,,,"Just a regular watermelon, can be consumed and used in crafting multivitamin drink"
shBanana,Items,Food,,,"Banana"
shBananaDesc,Items,Food,,,"Just a regular banana, can be consumed and used in crafting"
shMultivitaminDrink,Items,Food,,,"Multivitamin Drink"
shMultivitaminDrinkDesc,Items,Food,,,"Very special,rare and tasty multivitamin drink"
shDeadlyDrink,Items,Food,,,"Deadly Drink"
shDeadlyDrinkDesc,Items,Food,,,"Very special, rare and tasty deadly drink"
